Time (s),Amplitude (V)
8.176672933082677e-05,0.0
8.177672893084277e-05,0.0
8.178672853085877e-05,0.016666666666666607
8.179672813087477e-05,0.0
8.180672773089078e-05,0.016666666666666607
8.181672733090677e-05,0.0
8.182672693092276e-05,0.016666666666666607
8.183672653093877e-05,0.016666666666666607
8.184672613095476e-05,0.0
8.185672573097077e-05,0.016666666666666607
8.186672533098677e-05,0.016666666666666607
8.187672493100276e-05,0.016666666666666607
8.188672453101877e-05,0.016666666666666607
8.189672413103476e-05,0.016666666666666607
8.190672373105077e-05,0.016666666666666607
8.191672333106676e-05,0.0
8.192672293108276e-05,0.016666666666666607
8.193672253109876e-05,0.0
8.194672213111476e-05,0.0
8.195672173113076e-05,0.0
8.196672133114676e-05,0.0
8.197672093116275e-05,0.0
8.198672053117876e-05,0.0
8.199672013119475e-05,0.0
8.200671973121076e-05,0.0
8.201671933122675e-05,0.0
8.202671893124275e-05,-0.016666666666666607
8.203671853125876e-05,0.016666666666666607
8.204671813127475e-05,0.0
8.205671773129076e-05,0.0
8.206671733130675e-05,0.016666666666666607
8.207671693132276e-05,0.0
8.208671653133875e-05,0.016666666666666607
8.209671613135475e-05,0.016666666666666607
8.210671573137075e-05,0.016666666666666607
8.211671533138675e-05,0.0
8.212671493140275e-05,0.016666666666666607
8.213671453141875e-05,0.0
8.214671413143474e-05,0.016666666666666607
8.215671373145075e-05,0.0
8.216671333146674e-05,0.0
8.217671293148275e-05,0.0
8.218671253149874e-05,0.0
8.219671213151474e-05,0.0
8.220671173153075e-05,0.0
8.221671133154674e-05,0.0
8.222671093156275e-05,0.0
8.223671053157874e-05,-0.016666666666666607
8.224671013159473e-05,0.0
8.225670973161074e-05,0.0
8.226670933162674e-05,-0.016666666666666607
8.227670893164274e-05,0.0
8.228670853165874e-05,0.0
8.229670813167474e-05,0.0
8.230670773169074e-05,0.0
8.231670733170673e-05,0.0
8.232670693172274e-05,0.0
8.233670653173873e-05,0.0
8.234670613175474e-05,0.0
8.235670573177073e-05,0.0
8.236670533178673e-05,0.016666666666666607
8.237670493180274e-05,0.0
8.238670453181873e-05,0.0
8.239670413183474e-05,0.0
8.240670373185073e-05,0.0
8.241670333186672e-05,0.0
8.242670293188273e-05,0.0
8.243670253189873e-05,0.016666666666666607
8.244670213191473e-05,0.0
8.245670173193073e-05,0.0
8.246670133194672e-05,0.0
8.247670093196273e-05,0.0
8.248670053197872e-05,0.0
8.249670013199473e-05,0.0
8.250669973201072e-05,0.0
8.251669933202673e-05,-0.016666666666666607
8.252669893204272e-05,0.0
8.253669853205872e-05,0.0
8.254669813207473e-05,0.0
8.255669773209072e-05,0.0
8.256669733210673e-05,0.0
8.257669693212272e-05,0.0
8.258669653213871e-05,0.0
8.259669613215472e-05,0.0
8.260669573217072e-05,0.0
8.261669533218672e-05,0.0
8.262669493220272e-05,0.0
8.263669453221871e-05,0.016666666666666607
8.264669413223472e-05,0.0
8.265669373225071e-05,0.0
8.266669333226672e-05,0.016666666666666607
8.267669293228271e-05,0.0
8.26866925322987e-05,0.0
8.269669213231471e-05,0.0
8.270669173233071e-05,0.016666666666666607
8.271669133234671e-05,0.0
8.272669093236271e-05,0.0
8.273669053237872e-05,0.0
8.274669013239471e-05,0.0
8.27566897324107e-05,0.0
8.276668933242671e-05,0.0
8.27766889324427e-05,0.0
8.278668853245871e-05,0.0
8.27966881324747e-05,0.0
8.28066877324907e-05,0.0
8.281668733250671e-05,0.0
8.28266869325227e-05,0.016666666666666607
8.283668653253871e-05,0.016666666666666607
8.28466861325547e-05,0.016666666666666607
8.28566857325707e-05,0.016666666666666607
8.28666853325867e-05,0.016666666666666607
8.28766849326027e-05,0.0
8.28866845326187e-05,0.0
8.28966841326347e-05,0.016666666666666607
8.290668373265069e-05,0.0
8.29166833326667e-05,0.0
8.29266829326827e-05,0.0
8.29366825326987e-05,0.0
8.29466821327147e-05,-0.016666666666666607
8.295668173273069e-05,0.0
8.29666813327467e-05,0.0
8.297668093276269e-05,0.0
8.29866805327787e-05,0.0
8.299668013279469e-05,0.0
8.30066797328107e-05,0.0
8.301667933282669e-05,0.0
8.302667893284269e-05,0.0
8.30366785328587e-05,0.0
8.304667813287469e-05,0.016666666666666607
8.30566777328907e-05,0.0
8.306667733290669e-05,0.016666666666666607
8.307667693292268e-05,0.016666666666666607
8.308667653293869e-05,0.0
8.309667613295468e-05,0.0
8.310667573297069e-05,0.0
8.311667533298668e-05,0.0
8.312667493300268e-05,0.0
8.313667453301869e-05,0.0
8.314667413303468e-05,0.0
8.315667373305069e-05,0.0
8.316667333306668e-05,0.0
8.317667293308267e-05,0.0
8.318667253309868e-05,0.0
8.319667213311468e-05,0.0
8.320667173313068e-05,0.0
8.321667133314668e-05,0.0
8.322667093316268e-05,0.0
8.323667053317868e-05,0.0
8.324667013319467e-05,0.0
8.325666973321068e-05,0.016666666666666607
8.326666933322667e-05,0.0
8.327666893324268e-05,0.0
8.328666853325867e-05,0.016666666666666607
8.329666813327467e-05,0.0
8.330666773329068e-05,0.0
8.331666733330667e-05,0.0
8.332666693332268e-05,0.016666666666666607
8.333666653333867e-05,0.0
8.334666613335466e-05,0.0
8.335666573337067e-05,0.0
8.336666533338667e-05,0.0
8.337666493340267e-05,0.0
8.338666453341867e-05,0.0
8.339666413343466e-05,0.0
8.340666373345067e-05,0.0
8.341666333346666e-05,0.0
8.342666293348267e-05,0.0
8.343666253349866e-05,0.0
8.344666213351467e-05,0.0
8.345666173353066e-05,0.0
8.346666133354666e-05,0.0
8.347666093356267e-05,0.0
8.348666053357866e-05,0.0
8.349666013359467e-05,0.0
8.350665973361066e-05,0.0
8.351665933362665e-05,0.0
8.352665893364266e-05,0.016666666666666607
8.353665853365866e-05,0.0
8.354665813367466e-05,0.0
8.355665773369066e-05,0.0
8.356665733370665e-05,0.0
8.357665693372266e-05,0.0
8.358665653373865e-05,0.016666666666666607
8.359665613375466e-05,0.016666666666666607
8.360665573377065e-05,0.0
8.361665533378665e-05,0.0
8.362665493380265e-05,0.0
8.363665453381865e-05,0.0
8.364665413383466e-05,0.0
8.365665373385065e-05,0.0
8.366665333386664e-05,0.0
8.367665293388265e-05,0.0
8.368665253389864e-05,-0.016666666666666607
8.369665213391465e-05,0.0
8.370665173393065e-05,0.0
8.371665133394665e-05,0.0
8.372665093396265e-05,0.0
8.373665053397864e-05,0.016666666666666607
8.374665013399465e-05,0.0
8.375664973401064e-05,0.0
8.376664933402665e-05,0.016666666666666607
8.377664893404264e-05,0.016666666666666607
8.378664853405864e-05,0.016666666666666607
8.379664813407464e-05,0.016666666666666607
8.380664773409064e-05,0.0
8.381664733410665e-05,0.0
8.382664693412264e-05,0.0
8.383664653413863e-05,0.0
8.384664613415464e-05,0.016666666666666607
8.385664573417063e-05,0.0
8.386664533418664e-05,0.0
8.387664493420264e-05,0.0
8.388664453421863e-05,0.0
8.389664413423464e-05,0.0
8.390664373425063e-05,0.0
8.391664333426664e-05,0.0
8.392664293428263e-05,0.0
8.393664253429864e-05,0.0
8.394664213431463e-05,0.0
8.395664173433063e-05,0.016666666666666607
8.396664133434663e-05,0.0
8.397664093436263e-05,0.0
8.398664053437864e-05,0.0
8.399664013439463e-05,0.0
8.400663973441062e-05,0.0
8.401663933442663e-05,0.0
8.402663893444262e-05,0.016666666666666607
8.403663853445863e-05,0.0
8.404663813447463e-05,0.0
8.405663773449062e-05,0.0
8.406663733450663e-05,0.016666666666666607
8.407663693452262e-05,0.0
8.408663653453863e-05,0.0
8.409663613455462e-05,0.0
8.410663573457062e-05,0.016666666666666607
8.411663533458662e-05,0.016666666666666607
8.412663493460262e-05,0.0
8.413663453461862e-05,0.0
8.414663413463462e-05,0.0
8.415663373465063e-05,0.0
8.416663333466662e-05,0.0
8.417663293468261e-05,0.0
8.418663253469862e-05,0.016666666666666607
